"cloud number" xcm ycm zcm mass r_90 vdisp_x vdisp_y vdisp_z alpha_vir alpha_vir_s
0 -0.4872889291877247 -0.018641164804111442 -0.23089882365789266 72207462.29980469 0.3653987208193198 112.77670749445767 103.72557836583277 128.7593810708573 78.5460494845669 32.62422425800107
1 2.9448193410503127 -3.9473605746722304 -0.011126084448330912 62112619.68310547 0.3197643903921548 95.26412823768102 120.94289278657 70.31243288510784 57.14578191249347 29.57581302106082
2 -2.3803269233893363 5.769156703672608 0.15297864873911726 39973875.07910156 0.24916374556143908 17.589283603185187 24.750678574430502 20.445204758374647 3.236491140662479 1.699708887468576
3 -4.8423475838232095 -2.242588131608473 0.18302608610070334 37133590.994140625 0.23405731721956888 25.698937228064107 31.549814671899124 30.744222134670878 6.352825980675304 3.085678507261948
4 0.8635443396222147 -4.551734021294675 -0.17922360227330947 29319628.790039062 0.23146112096432184 19.016748970983382 23.01483258448413 17.25449433054562 3.6373128286941996 1.634762160689185
5 0.22231125944719812 -4.827651031285366 -0.14824802784011637 28111704.903808594 0.19116629836485927 23.59223874771381 16.95101857136639 20.998952532496354 3.385749032056143 1.9508057992995953
6 -1.8798957774667158 -5.202128491411647 0.046351522277705816 23762257.313964844 0.14307293142688834 29.21167124526013 29.409288866462987 32.07088562065699 6.4085207106813895 3.9615208624071685
7 3.77085647125299 -2.7662320217243552 0.08479385808375406 21979270.83544922 0.2256836919733185 43.51133752098851 43.66366161236354 35.44729235482141 20.117882165138955 8.469493741708947
8 -6.56016663293034 -2.8334312123058147 0.3050442966682885 20752418.401367188 0.21955312175939154 18.688275887378268 20.00575083892162 17.49107518965782 4.326749471936852 1.926250065239917
9 2.6949664404892806 0.06197580272342321 -0.08051909928611561 21677036.963867188 0.2355094745583008 37.75037515882845 18.18572555621766 29.669205806631748 11.097667128534358 4.872436677171059
10 -0.900395957655712 -0.3562651518932906 -0.028949557306234223 23330446.30419922 0.12753442934087864 48.85258152664179 60.77182346734588 38.653335840552685 16.04308860998977 9.42158562739205
11 1.5268503409997196 0.5764401488798924 0.4720541123668383 20824105.188476562 0.12962798089833705 43.5012689237322 33.61873531093293 38.80585978757042 10.92320531160002 6.226572940554871
12 -0.14242131891525983 -0.890041032678873 -0.23536313732212893 20019931.921875 0.1854693374247402 67.8524486828385 97.22771227384996 47.961517802300115 58.72079802510144 28.72599245019306
13 3.652952150496492 -4.555982096343461 -0.3363816507655775 18058052.442871094 0.15832222370114776 34.088648418666274 18.64168709227537 26.702573802178705 7.550806348857062 4.277666080860533
14 3.4183204366427424 -4.031883861868716 -0.36503811018075394 17282830.232910156 0.159260586356316 58.717849983580564 62.37610354910296 91.58031722691388 56.15186521249155 31.498174602129513
15 -5.289528286807826 -3.5035396916017327 0.257694530922241 16209004.508300781 0.0971151177899189 36.3612604343755 22.544936747601252 20.764841463170907 5.250623969205393 3.2734716206859167
16 4.898261807349558 2.999325682018714 0.35490966620914793 15956704.921875 0.16258543630669262 29.42484750920993 34.449333701834526 26.898032320328518 10.960655767920814 5.345613748863622
17 2.3638150870914387 3.505340889750605 0.15864065722085177 15988148.56640625 0.158537154943125 46.39080600695868 47.85239827774548 28.84651763688954 20.264943577587037 10.554811120225756
18 7.501896370906023 1.1917711019392543 0.25911714511002 16400173.114257812 0.12978804323602194 15.453404474775432 25.678468933208716 17.10720321872816 3.651811070175957 2.15280372090192
19 3.7843931254273944 -3.9239960704320973 0.03877230590782739 15987468.952636719 0.1542441001474133 82.22471014531646 39.39981830108168 41.73295021301465 37.589957595391105 18.333862976386484
20 5.90226863736396 2.5084906300104493 0.3777363752114396 14836651.460449219 0.17787348469833206 27.74242363247273 28.046490447374232 29.43110427971149 11.253657092751224 5.329184613827795
21 -6.248600598902675 -0.909080430437893 0.25325637942349866 15035877.188476562 0.16248277661992705 21.282583919275393 29.573045199412253 16.42727179852667 6.688819507906234 3.525880945826393
22 -4.822653590172241 -4.50979899582201 0.08243733951621628 14205214.266113281 0.13700766852672372 9.871655063664992 15.004066422637036 16.32110268739926 2.2011075143672985 1.2987602280565447
23 1.6159641492651806 0.03501232631186288 0.41893967815513666 15869344.007324219 0.12138769528292938 44.45691589158433 35.44400835440023 21.167484367844096 10.909846924458218 6.444609742569867
24 -3.5434926845818016 -2.3085567926902653 -0.327985836302882 13121191.291503906 0.12764451704237242 44.723739069426706 50.57169486426097 37.59003992754899 22.50719546023454 12.49355840740731
25 -4.555522460930581 -0.8970051015709903 -0.03470953615290158 13181736.323730469 0.11679971078878948 29.168426433349666 42.78842767916868 45.77326062029922 16.401192434314414 9.206774742737402
26 -5.645486231133797 -3.4472774788837937 0.3200423097935215 11874929.957519531 0.15349882150540967 20.07289782183644 13.371338763654615 21.3341001162292 5.193485580061232 2.898067090438858
27 -5.19782148533817 -0.9507687804051578 -0.20464723877417743 11986212.742675781 0.10174924791750574 19.376774779252454 27.170570115955027 20.25575798762464 5.013009561509011 2.9717879181012044
28 3.5427933677732506 -2.8706097236313672 0.2840293741645259 11749323.951660156 0.13363001531232613 33.489060136651446 23.790063159677366 31.00703078566309 11.674163677310737 6.4543458009858385
29 -1.3556138184080218 -0.27084626525691224 -0.04723044010846461 12241119.38671875 0.11587543171134847 36.934599922904034 23.232241943034335 22.345809266408047 8.81520835122753 5.492595134717193
30 -3.5304554610235668 5.0570537524335935 0.2705465065471523 10402910.515136719 0.1372289519728926 40.912842399383464 35.30917630148323 41.9272898813048 23.914589459969037 12.924416943095732
31 3.892601761787836 -3.5610418311589997 0.30769926763574273 10788114.766601562 0.08305344344755769 74.235512508761 59.13593205153262 48.051855260681016 33.760375264054915 20.753931825442326
32 0.12745661822618154 -0.19158728737684205 0.1130481616474427 11008829.9296875 0.12503442869611578 54.83137079246254 46.030712590936886 72.39135458383879 45.62024590632497 20.140872420927202
33 0.35251557415613877 -4.719197655454858 0.21060587857973653 9282871.993652344 0.15944451388376762 51.32257424725089 25.041307314670014 24.29491094282524 25.633161789427767 12.55647181053329
34 -1.3222836706700207 -0.5589381365436383 -0.1724450646206487 10642597.802734375 0.10080456621330768 52.315135697001836 38.11461708107892 18.86389124888871 16.683017816122224 10.100123053447994
35 -3.587888344746828 -5.039982208758624 -0.13411592062060385 8067339.374511719 0.10472076704083022 8.24456920374416 15.582708207014887 17.66837729127676 3.133517221720155 1.965943877377471
36 6.506881493075067 -5.011266207841578 -0.07609794591348545 8345105.94140625 0.08705177146812601 15.948091427524618 22.318155563629716 19.04174695138838 4.507108365351566 2.54395531216633
37 -7.961660077217998 -1.3942747471759307 0.39463097594194974 7465650.6005859375 0.09507935275698329 29.185332444549825 17.503882458988375 11.201855347794183 6.334776724574636 3.759793224854053
38 0.8431250520941802 2.6453716918013406 0.2978372840736642 7825861.684082031 0.1575941114059331 18.207176520445838 20.8187763615283 17.295775000108392 8.303140246254076 3.4266936241195713
39 2.500924968600666 -4.480819448903011 0.1367671660836977 7572380.498535156 0.0797569524577564 20.028920515830492 29.5255158498115 18.429415030148547 6.581380203665964 4.4367090356026555
40 -7.695077224708896 -0.42356282267715745 0.23927203669397595 7508653.771484375 0.1058419005124014 18.463949882001376 20.765618984914685 14.495550917680166 5.36516486416908 3.092976930060186
41 2.5460761988809257 -2.1048176134202023 -0.08069140581830794 7813347.591308594 0.11252346968273895 24.099816982733664 9.40766839858481 23.00536505357266 6.68849941529429 3.6827277716529
42 0.5675415819266624 -0.25550078791869074 -0.08417630916797421 8201953.9443359375 0.11353526419399634 42.66708524622874 46.15857468147978 39.292784158265235 29.474622752022036 14.6172341238738
43 3.7761912975201626 -3.8032532279101146 -0.44666255059026405 7234943.978515625 0.08983818009839571 18.48651621832644 9.713740400596642 13.04272285176437 2.9169048501315955 1.7098414558308948
44 -6.502500536494727 1.6097526865055483 -0.28018903644269977 6566514.044921875 0.11309550516983208 26.02867460591951 34.214126581047935 28.17967990318209 17.633589228962744 8.953885749440039
45 7.203861708619833 -3.4031485118682245 0.2799947262441078 7018839.396972656 0.07714074765852849 34.36341706769672 17.443191145542922 18.41304659392133 7.7686357716517005 4.7958456096455775
46 3.267999218819097 -4.33986728791967 -0.3173604962654879 6939411.296875 0.1106311734742144 16.639308456045185 23.206217246049533 21.105031095968194 7.78884138074423 4.163829106550276
47 -6.511811504976589 2.9798408598757224 -0.28675964177860325 6373293.163574219 0.0879779538431586 11.210470560929412 11.320317296580752 15.9587604505736 2.7200196004953487 1.5233965184290454
48 6.378157921993347 2.4451744600932286 0.06953996226930748 6552295.312011719 0.09522605559856899 14.065675897163958 13.428274354581472 12.925926960146501 3.070555140553764 1.6389967328866182
49 0.7654182295495907 0.1575397684502114 -0.6639287814898585 7591172.482421875 0.1071088637725776 56.918840055471165 50.428003915929466 61.02742125470718 51.97920688592747 30.01807500951014
50 -5.784380372600377 4.077117245183355 -0.1908940713853521 6164857.5986328125 0.09615785185188787 12.644851868308402 14.003292634669469 9.4970608760044 2.6967224350056807 1.5795988579116533
51 -0.4864627338844554 -0.4936427598875623 0.8503964384609244 7124406.111328125 0.08143863243433881 71.02945127718847 28.966840045850542 55.18291643172536 39.55219360872836 22.0792764535453
52 -5.805110172170721 1.0527855969969675 0.9594039735708408 6269647.627441406 0.08292229196389274 8.577113458435942 14.432391873260123 12.797423747706565 2.2838789769783987 1.3046296718664978
53 -5.053930621323903 -4.166420289107165 0.10157235391354245 5968887.109863281 0.10392180527919999 8.473348511088595 20.686687667061953 19.161814848621223 5.848628117030485 3.6348603845067275
54 -0.7665202928871696 -1.5560943403864866 -0.47009600538838947 6552722.365234375 0.09934311808201705 26.163541585150085 48.19118139335258 49.382233378778345 31.990542442035224 18.029162188520797
55 -1.316234752568267 -4.731448653675578 -0.02565275073946284 5829612.080566406 0.09506984520774354 30.64289778263908 32.59732084068981 13.132311358990025 13.738345891593037 7.872700518058159
56 -3.7136234283206044 5.3202830777112275 0.44234986772848023 5701154.562988281 0.1043795204210083 18.01015462035079 12.122139688153414 17.429488350751985 5.498894934629499 2.793721205480222
57 3.0352705529217405 -5.18200616751091 -0.46320770919677323 5802613.8740234375 0.08320852867713448 18.6960223352519 8.746917907123342 12.931878053582356 3.296644002132498 1.9557006327602433
58 -8.264680485905021 -1.5323910170462616 0.25629170801170614 5099022.8427734375 0.08048617006828637 19.319013876926483 19.981543792659064 18.426959992285596 6.80174238899168 4.093439731507283
59 4.254965096701568 2.2526289425631276 -0.30913759017308423 5541168.907714844 0.07287373908018141 11.933233242530061 8.033280401559002 9.974300882766348 1.5615497783820715 1.0159522974229513
